title;genre;distributor;year
Drivers Wanted;Comedy;Indican Pictures;2005
Team America: World Police;Comedy;Paramount Pictures;2004
Sex, Politics & Cocktails;Comedy;Regent Releasing;2005
Screen Door Jesus;Comedy;Indican Pictures;2005
Bigger Than the Sky;Comedy;MGM;2005
The Reception;Comedy;Strand;2005
La Grande Seduction;Comedy;Odeon Films;2003
Night of Henna;Comedy;Illuminare;2005
Jigureul Jikyeora! (Save the Green Planet!);Comedy;Koch Lorber Films;2005
Formula 17;Comedy;Strand;2005
CSA: The Confederate States of America;Comedy;IFC Films;2005
A Tale of Two Pizzas;Comedy;Cockeyed Caravan;2005
Duane Hopwood;Comedy;IFC Films;2005
Go For Zucker;Comedy;First Run Features;2005
A Halfway House Christmas;Comedy;Lumpy Rock;2005
All Babes Want to Kill Me;Comedy;High Cotton Films;2005
Winning Girls Through Psychic Mind Control;Comedy;Psychic Girls;2005
One More Round;Comedy;Silver Plane Films;2005
Alfie;Comedy;Paramount Pictures;2004
My Big Fat Independent Movie;Comedy;Big Fat Movies;2005
The Helix…Loaded;Comedy;Romar;2005
A Hole in My Heart;Comedy;Newmarket Films;2005
I Love Your Work;Comedy;ThinkFilm;2005
Sex is Comedy;Comedy;IFC Films;2004
Sex Sells: The Making of Touche;Comedy;HB Filmworks;2005
Two Men Went to War;Comedy;Indican Pictures;2004
The Raspberry Reich;Comedy;Strand;2004
Spooky House;Comedy;;2002
Talladega Nights: The Ballad of Ricky Bobby;Comedy;Sony Pictures;2006
Click;Comedy;Sony Pictures;2006
Borat;Comedy;20th Century Fox;2006
